user_id_game_id,user_id,game_id,winning_pick
8_2022_01_BAL_NYJ,8,2022_01_BAL_NYJ,BAL
8_2022_01_BUF_LA,8,2022_01_BUF_LA,BUF
8_2022_01_CLE_CAR,8,2022_01_CLE_CAR,CAR
8_2022_01_DEN_SEA,8,2022_01_DEN_SEA,DEN
8_2022_01_GB_MIN,8,2022_01_GB_MIN,MIN
8_2022_01_IND_HOU,8,2022_01_IND_HOU,IND
8_2022_01_JAX_WAS,8,2022_01_JAX_WAS,WAS
8_2022_01_KC_ARI,8,2022_01_KC_ARI,ARI
8_2022_01_LV_LAC,8,2022_01_LV_LAC,LAC
8_2022_01_NE_MIA,8,2022_01_NE_MIA,MIA
8_2022_01_NO_ATL,8,2022_01_NO_ATL,NO
8_2022_01_NYG_TEN,8,2022_01_NYG_TEN,TEN
8_2022_01_PHI_DET,8,2022_01_PHI_DET,PHI
8_2022_01_PIT_CIN,8,2022_01_PIT_CIN,CIN
8_2022_01_SF_CHI,8,2022_01_SF_CHI,SF
8_2022_01_TB_DAL,8,2022_01_TB_DAL,TB
8_2022_02_ARI_LV,8,2022_02_ARI_LV,LV
8_2022_02_ATL_LA,8,2022_02_ATL_LA,LA
8_2022_02_CAR_NYG,8,2022_02_CAR_NYG,NYG
8_2022_02_CHI_GB,8,2022_02_CHI_GB,GB
8_2022_02_CIN_DAL,8,2022_02_CIN_DAL,CIN
8_2022_02_HOU_DEN,8,2022_02_HOU_DEN,DEN
8_2022_02_IND_JAX,8,2022_02_IND_JAX,JAX
8_2022_02_LAC_KC,8,2022_02_LAC_KC,KC
8_2022_02_MIA_BAL,8,2022_02_MIA_BAL,BAL
8_2022_02_MIN_PHI,8,2022_02_MIN_PHI,MIN
8_2022_02_NE_PIT,8,2022_02_NE_PIT,PIT
8_2022_02_NYJ_CLE,8,2022_02_NYJ_CLE,CLE
8_2022_02_SEA_SF,8,2022_02_SEA_SF,SF
8_2022_02_TB_NO,8,2022_02_TB_NO,NO
8_2022_02_TEN_BUF,8,2022_02_TEN_BUF,BUF
8_2022_02_WAS_DET,8,2022_02_WAS_DET,WAS